title,url,date,summary,section
Μητσοτάκης για Τέμπη: Εκλεισε ένας κύκλος τοξικότητας – ο λόγος στον φυσικό δικαστή,https://www.protagon.gr/epikairotita/mitsotakis-gia-tebi-ekleise-enas-kyklos-toksikotitas-o-logos-ston-fysiko-dikasti-44343168693,2025-06-19,"Μία ημέρα μετά την εξαιρετικά επιθετική για τα κόμματα της ελάσσονος αντιπολίτευσης, ομιλία του από το βήμα...",
"Υπομνήματα από Πλεύρη, Κεφαλογιάννη και Παπαδόπουλο: Γιατί δεν εμπλεκόμαστε στα Τέμπη",https://www.protagon.gr/epikairotita/ypomnimata-apo-plevri-kefalogianni-kai-papadopoulo-giati-den-eblekomaste-sta-tebi-44343168022,2025-06-18,"Η πρόταση του ΠΑΣΟΚ στερείται συνταγματικής, νομικής και πραγματολογικής θεμελίωσης, σημείωσε ο νυν υπουργός Πολιτικής Προστασίας και...",
Προανακριτική για Τέμπη: «Οπλισμένη» από την αρχή η Κωνσταντοπούλου – σύγκρουση με ΠΑΣΟΚ επί της διαδικασίας,https://www.protagon.gr/epikairotita/proanakritiki-gia-tebi-oplismeni-apo-tin-arxi-i-kwnstantopoulou-sygkrousi-me-pasok-epi-tis-diadikasias-44343167901,2025-06-18,Η πρόεδρος της Πλεύσης Ελευθερίας έσπευσε να καταγγείλει τεχνάσματα από πλευράς κυβέρνησης προκειμένου να περιοριστεί η συζήτηση...,
Προανακριτική για Τέμπη: Την Τετάρτη η μαραθώνια συζήτηση στη Βουλή – θα παρέμβει ο Πρωθυπουργός;,https://www.protagon.gr/epikairotita/proanakritiki-gia-tebi-tin-tetarti-i-marathwnia-syzitisi-sti-vouli-tha-paremvei-o-prwthypourgos-44343166403,2025-06-16,Τελευταίες πληροφορίες αναφέρουν ότι ο κίνδυνος «διαρροών» στην ΚΟ της ΝΔ για το θέμα της παραπομπής Καραμανλή...,
Τα Τέμπη και οι δραπέτες της Ιστορίας,https://www.protagon.gr/apopseis/ta-tebi-kai-oi-drapetes-tis-istorias-44343161275,2025-06-06,Η ελάσσων (και τυχοδιωκτική) αντιπολίτευση κατηγορεί τον Μητσοτάκη «επί εσχάτη προδοσία» για το τραγικό σιδηροδρομικό δυστύχημα. Ο ΣΥΡΙΖΑ και οι παραφυάδες...,
«Χάλασε» ένα ακόμη αφήγημα: «Καμία σχέση» ο αυτόχειρας αστυνομικός με την έρευνα για τα Τέμπη,https://www.protagon.gr/epikairotita/xalase-ena-akomi-afigima-kamia-sxesi-o-aftoxeiras-astynomikos-me-tin-erevna-gia-ta-tebi-44343161259,2025-06-06,"Με ανακοίνωσή του, το Αρχηγείο της ΕΛ.ΑΣ έδωσε τέλος στις θεωρίες και στην απόπειρα σύνδεσης των δύο...",
Αριστερά – Τέμπη: το τέλος,https://www.protagon.gr/apopseis/aristera-tebi-to-telos-44343160987,2025-06-06,"Η πρόταση Καρυστιανού για Προανακριτική, που συγκρότησε γύρω της ένα μέτωπο ακραίου λαϊκισμού αποτελούμενο από την Ελληνική Λύση του Βελόπουλου, τη...",
Τέμπη: Οι βουλευτές του Κασσελάκη αποσύρουν τελικά τις υπογραφές τους από την πρόταση του ΣΥΡΙΖΑ,https://www.protagon.gr/epikairotita/tebi-oi-vouleftes-tou-kasselaki-aposyroun-tis-ypografes-tous-apo-tin-protasi-tou-syriza-44343160564,2025-06-05,Ως ειλημμένη περιγράφεται η απόφαση των έξι βουλευτών να στηρίξουν την πρόταση Καρυστιανού για «εσχάτη προδοσία». Αδοξο...,
Με στήριξη Κασσελάκη η πρόταση ΣΥΡΙΖΑ για τα Τέμπη (συν μία πρόταση από Καρυστιανού),https://www.protagon.gr/epikairotita/me-stiriksi-kasselaki-i-protasi-syriza-gia-ta-tebi-44343160248,2025-06-04,Η πρόταση της Κουμουνδούρου συνυπογράφεται από 33 βουλευτές εκ των οποίων έξι ανήκουν στο Κίνημα Δημοκρατίας του...,
Μητσοτάκης: «Εφ.Συν. της Βρετανίας» ο Guardian – Tι θα κάνουμε με Καραμανλή για Τέμπη,https://www.protagon.gr/epikairotita/mitsotakis-ef-syn-tis-vretanias-o-guardian-ti-tha-kanoume-me-karamanli-gia-tebi-44343151316,2025-05-22,"Σύντομα η πρόταση της ΝΔ για τον πρώην υπουργό Μεταφορών. «Δεν βλέπουμε κακούργημα, αν το Δικαστικό Συμβούλιο...",
Τέμπη: Συνεργασία ΣΥΡΙΖΑ-Νέας Αριστεράς για τη δικογραφία,https://www.protagon.gr/epikairotita/tebi-synergasia-syriza-neas-aristeras-gia-ti-dikografia-44343147102,2025-05-15,"Να συνεχιστεί η συνεργασία με στόχο την κοινή Προανακριτική συμφώνησαν οι πρόεδροι των ΣΥΡΙΖΑ-ΠΣ και Νέας Αριστεράς, Σωκράτης Φάμελλος και Αλέξης...",
Πιερρακάκης: Εως το καλοκαίρι η ρύθμιση για τις προσφυγές του Δημοσίου σε μεγάλες υποθέσεις – σε ισχύ και για τα Τέμπη,https://www.protagon.gr/epikairotita/pierrakakis-mexri-to-kalokairi-i-rythmisi-gia-tis-profyges-tou-dimosiou-se-megales-ypotheseis-se-isxy-kai-gia-ta-tebi-44343146739,2025-05-15,«Οδηγός» η διάταξη για Μάτι και Μάνδρα. Τέλος στις χρονοβόρες αντιδικίες του Δημοσίου με τους πολίτες. Τι...,
Πρώτη δήλωση Μητσοτάκη για Τέμπη μετά το πόρισμα Καρώνη: Αποδείχθηκε ότι το ψέμα έχει κοντά ποδάρια,https://www.protagon.gr/epikairotita/prwti-dilwsi-mitsotaki-gia-tebi-meta-to-porisma-karwni-apodeixthike-oti-to-psema-exei-konta-podaria-44343146264,2025-05-14,"Η Δικαιοσύνη τον τελικό λόγο, επανέλαβε ο Πρωθυπουργός, «αυτή θα αξιολογήσει τελικά τι έχει συμβεί και τι...",
